year,month,avg_temp,max_temp,min_temp,avg_rainfall,avg_windspeed,avg_sunshine,avg_evaporation,month_num,season
2013,Apr,19.19,28.7,10.9,5.73,15.43,5.58,3.97,4,Autumn
2013,Aug,15.45,24.7,7.0,0.49,18.27,4.53,4.47,8,Winter
2013,Dec,22.02,36.0,12.7,1.0,18.24,13.49,7.83,12,Summer
2013,Feb,22.89,39.65,15.35,1.8,17.67,10.86,7.14,2,Summer
2013,Jan,23.62,45.8,16.8,1.42,16.77,10.63,7.89,1,Summer
2013,Jul,14.32,24.3,7.1,1.05,15.53,3.73,2.72,7,Winter
2013,Jun,14.14,22.2,7.6,9.72,16.57,1.91,2.56,6,Winter
2013,Mar,22.16,33.5,13.9,2.19,18.58,5.55,6.39,3,Autumn
2013,May,16.26,26.4,9.2,3.11,17.78,5.13,3.26,5,Autumn
2013,Nov,19.78,33.3,11.8,7.08,18.08,6.91,6.68,11,Spring
2013,Oct,20.06,37.3,9.7,1.49,21.04,8.39,8.03,10,Spring
2013,Sep,18.55,31.6,10.0,0.13,17.13,7.76,5.79,9,Spring
2014,Apr,19.85,29.9,12.4,4.03,15.52,4.41,3.68,4,Autumn
2014,Aug,14.01,23.2,5.5,5.68,18.09,3.84,3.46,8,Winter
2014,Dec,22.61,32.0,15.3,3.65,17.47,11.65,7.52,12,Summer
2014,Feb,23.06,32.4,15.5,2.08,17.43,10.45,6.86,2,Summer
2014,Jan,23.31,36.5,16.0,0.58,17.65,13.27,7.94,1,Summer
2014,Jul,13.93,25.0,6.4,0.53,18.5,4.25,3.14,7,Winter
2014,Jun,15.31,22.8,8.6,2.27,17.7,3.63,3.31,6,Winter
2014,Mar,22.71,29.7,15.1,3.42,14.28,5.1,5.11,3,Autumn
2014,May,18.12,27.1,10.3,0.88,16.15,6.1,3.66,5,Autumn
2014,Nov,21.62,33.9,13.7,0.59,18.57,8.17,7.32,11,Spring
2014,Oct,20.14,33.8,9.0,0.53,18.02,8.55,6.23,10,Spring
2014,Sep,17.04,33.5,8.8,1.8,17.45,8.16,4.69,9,Spring
2015,Apr,20.16,31.7,10.3,4.17,18.44,5.62,3.98,4,Autumn
2015,Aug,15.26,28.3,5.0,2.32,16.77,5.45,3.6,8,Winter
2015,Dec,23.34,35.3,14.6,3.21,17.52,14.38,8.21,12,Summer
2015,Feb,24.91,32.1,17.3,2.11,16.41,13.68,6.35,2,Summer
2015,Jan,25.17,35.7,14.6,5.58,17.02,16.22,7.55,1,Summer
2015,Jul,13.18,20.8,5.8,1.74,17.61,4.39,2.36,7,Winter
2015,Jun,15.16,22.9,6.1,1.25,13.8,3.7,2.15,6,Winter
2015,Mar,23.62,36.4,14.7,2.17,17.47,6.28,5.62,3,Autumn
2015,May,17.4,27.5,7.9,3.54,17.6,5.56,3.3,5,Autumn
2015,Nov,22.93,40.9,13.7,4.29,17.38,7.87,7.24,11,Spring
2015,Oct,21.94,37.0,12.9,1.39,15.97,8.73,6.65,10,Spring
2015,Sep,16.9,25.4,8.0,2.86,19.11,9.13,4.81,9,Spring
2016,Apr,22.79,34.2,13.1,5.31,14.79,7.3,4.43,4,Autumn
2016,Aug,15.61,25.2,7.1,3.23,16.96,5.01,3.59,8,Winter
2016,Dec,26.5,37.8,16.7,2.1,17.71,15.38,8.3,12,Summer
2016,Feb,26.86,32.8,17.0,0.89,17.45,19.81,8.22,2,Summer
2016,Jan,25.75,37.5,14.3,8.12,14.9,13.52,7.6,1,Summer
2016,Jul,15.61,25.7,6.4,2.93,18.77,5.04,3.36,7,Winter
2016,Jun,16.36,22.2,5.6,5.83,17.22,4.23,3.79,6,Winter
2016,Mar,25.56,30.7,14.3,5.99,16.33,7.67,6.37,3,Autumn
2016,May,19.78,28.2,7.3,0.26,15.55,7.61,4.21,5,Autumn
2016,Nov,23.86,32.5,12.1,0.94,18.98,12.2,8.19,11,Spring
2016,Oct,20.74,31.0,9.0,1.12,20.46,11.91,7.52,10,Spring
2016,Sep,18.9,24.6,10.0,2.41,18.03,9.43,4.91,9,Spring
