x,y
Andorra,1
Belarus,1
Czech Republic,1
Denmark,1
Estonia,1
Finland,1
Greece,1
Hungary,1
Iceland,1
Ireland,1
Italy,1
Liechtenstein,1
Luxembourg,1
Malta,1
Monaco,1
Norway,1
Portugal,1
San Marino,1
Slovakia,1
Switzerland,1
Vatican City,1
Antigua and Barbuda,1
Bahamas,1
Barbados,1
Belize,1
Chile,1
Costa Rica,1
Cuba,1
Dominica,1
Dominican Republic,1
Grenada,1
Saint Kitts and Nevis,1
Saint Lucia,1
Saint Vincent and the Grenadines,1
Suriname,1
Uruguay,1
Cape Verde,1
Equatorial Guinea,1
Gabon,1
Mauritius,1
Sao Tome and Principe,1
Seychelles,1
South Sudan,1
Brunei,1
Cyprus,1
Japan,1
Kazakhstan,1
Mongolia,1
Oman,1
Qatar,1
Singapore,1
South Korea,1
Taiwan,1
Turkmenistan,1
Vietnam,1
Fiji,1
Kiribati,1
Marshall Islands,1
Micronesia,1
Nauru,1
New Zealand,1
Palau,1
Samoa,1
Tonga,1
Tuvalu,1
Vanuatu,1
